Class,"addressee","agent","benefactive","content","experiencer","goal","patient","place","posessor","recipient","second_member","stimulus","subj_with_properties","term","theme","time"
ACC,0.97731,0.86233,0.95915,0.97882,0.97277,0.93797,0.85023,0.95764,0.86536,0.97579,0.95764,0.97126,0.86384,0.97882,0.83661,0.9652
AGF,0.48435,0.74918,0.52825,0.31728,0.0,0.65398,0.58581,0.29684,0.6978,0.7814,0.41549,0.0,0.71158,0.64591,0.65154,0.79023
AGM,0.7248,0.82201,0.74632,0.64431,0,0.81154,0.74106,0.62789,0.80002,0.91155,0.69321,0,0.80746,0.80905,0.76495,0.88011
AM,-7,19,-5,-6,-10,9,-11,-20,15,10,0,-3,-2,-4,22,-7
AUC,0.60405,0.76567,0.62776,0.54238,0.49691,0.71352,0.64558,0.53531,0.72678,0.85364,0.57737,0.49385,0.73515,0.69613,0.68772,0.80126
AUCI,Fair,Good,Fair,Poor,Poor,Good,Fair,Poor,Good,Very Good,Poor,Poor,Good,Fair,Fair,Very Good
AUPR,0.32143,0.57736,0.31283,0.14545,0.0,0.41282,0.39443,0.20513,0.50077,0.55411,0.17647,0.0,0.55451,0.47273,0.43744,0.68269
BCD,0.0053,0.01437,0.00378,0.00454,0.00756,0.00681,0.00832,0.01513,0.01135,0.00756,0.0,0.00227,0.00151,0.00303,0.01664,0.0053
BM,0.2081,0.53135,0.25551,0.08476,-0.00618,0.42705,0.29116,0.07062,0.45355,0.70727,0.15473,-0.01231,0.47031,0.39226,0.37544,0.60252
CEN,0.52293,0.40071,0.58106,0.53993,0.5328,0.53787,0.56055,0.56826,0.50613,0.37731,0.64039,0.70744,0.40914,0.43742,0.54603,0.3292
DOR,43.84091,15.68131,21.40909,16.15,0.0,21.21,7.00826,13.14583,12.07484,130.66667,9.64286,0.0,14.24901,85.46667,7.51055,122.8
DP,0.90522,0.65905,0.7336,0.6661,None,0.73136,0.46621,0.61682,0.59647,1.1667,0.54262,None,0.63611,1.06506,0.48278,1.15184
DPI,Poor,Poor,Poor,Poor,None,Poor,Poor,Poor,Poor,Limited,Poor,None,Poor,Limited,Poor,Limited
ERR,0.02269,0.13767,0.04085,0.02118,0.02723,0.06203,0.14977,0.04236,0.13464,0.02421,0.04236,0.02874,0.13616,0.02118,0.16339,0.0348
F0.5,0.35714,0.54367,0.33333,0.16129,0.0,0.37634,0.40921,0.2,0.47312,0.42105,0.17647,0.0,0.55777,0.50847,0.40354,0.71856
F1,0.28571,0.57277,0.30769,0.125,0.0,0.4058,0.39264,0.125,0.49718,0.5,0.17647,0.0,0.55446,0.46154,0.43158,0.67606
F2,0.2381,0.60516,0.28571,0.10204,0.0,0.44025,0.37736,0.09091,0.52381,0.61538,0.17647,0.0,0.55118,0.42254,0.4638,0.6383
FDR,0.57143,0.47414,0.64706,0.8,1.0,0.64103,0.57895,0.66667,0.54167,0.61905,0.82353,1.0,0.44,0.45455,0.61321,0.25
FN,11,36,16,10,14,16,55,24,37,3,14,11,46,9,43,15
FNR,0.78571,0.37113,0.72727,0.90909,1.0,0.53333,0.63218,0.92308,0.45679,0.27273,0.82353,1.0,0.45098,0.6,0.5119,0.38462
FOR,0.01682,0.06606,0.02484,0.01524,0.02131,0.02572,0.09402,0.03664,0.06549,0.00469,0.02174,0.01685,0.082,0.01385,0.07748,0.02385
FP,4,55,11,4,4,25,44,4,52,13,14,8,44,5,65,8
FPR,0.00618,0.09752,0.01721,0.00615,0.00618,0.03962,0.07666,0.0063,0.08966,0.02,0.02174,0.01231,0.07871,0.00774,0.11265,0.01286
G,0.30305,0.57506,0.31025,0.13484,0.0,0.40929,0.39354,0.16013,0.49897,0.52636,0.17647,0.0,0.55448,0.4671,0.4345,0.67937
GI,0.2081,0.53135,0.25551,0.08476,-0.00618,0.42705,0.29116,0.07062,0.45355,0.70727,0.15473,-0.01231,0.47031,0.39226,0.37544,0.60252
GM,0.46148,0.75335,0.51772,0.30058,0.0,0.66946,0.58277,0.27648,0.70321,0.84423,0.41549,0.0,0.7112,0.63,0.65811,0.7794
IBA,0.04695,0.41225,0.07771,0.00877,0.0,0.22691,0.15095,0.00636,0.31296,0.5326,0.03422,0.0,0.31751,0.16183,0.26019,0.38164
ICSI,-0.35714,0.15473,-0.37433,-0.70909,-1.0,-0.17436,-0.21113,-0.58974,0.00154,0.10823,-0.64706,-1.0,0.10902,-0.05455,-0.12511,0.36538
IS,4.33876,1.84135,3.40657,3.58715,None,2.98357,1.67764,3.0831,1.90313,4.51676,2.77854,None,1.85958,4.58715,1.60582,3.66807
J,0.16667,0.40132,0.18182,0.06667,0.0,0.25455,0.24427,0.06667,0.33083,0.33333,0.09677,0.0,0.38356,0.3,0.27517,0.51064
LS,20.23469,3.58345,10.60428,12.01818,0.0,7.9094,3.19903,8.47436,3.74023,22.89177,6.86159,0.0,3.62902,24.03636,3.04369,12.71154
MCC,0.29272,0.49428,0.28954,0.12514,-0.01148,0.37725,0.30858,0.14475,0.42211,0.51587,0.15473,-0.0144,0.47414,0.45665,0.34078,0.66146
MCCI,Negligible,Weak,Negligible,Negligible,Negligible,Weak,Weak,Negligible,Weak,Moderate,Negligible,Negligible,Weak,Weak,Weak,Moderate
MCEN,0.57231,0.50213,0.64652,0.55822,0.5328,0.62508,0.64891,0.58844,0.61734,0.44669,0.67783,0.70744,0.50723,0.51465,0.64447,0.43795
MK,0.41175,0.45981,0.3281,0.18476,-0.02131,0.33325,0.32704,0.29669,0.39285,0.37626,0.15473,-0.01685,0.478,0.53161,0.30931,0.72615
N,647,564,639,650,647,631,574,635,580,650,644,650,559,646,577,622
NLR,0.7906,0.41124,0.74001,0.91472,1.00622,0.55534,0.68467,0.92893,0.50178,0.27829,0.84183,1.01246,0.48951,0.60468,0.57689,0.38963
NLRI,Negligible,Poor,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Poor,Negligible,Negligible,Poor,Negligible,Negligible,Poor
NPV,0.98318,0.93394,0.97516,0.98476,0.97869,0.97428,0.90598,0.96336,0.93451,0.99531,0.97826,0.98315,0.918,0.98615,0.92252,0.97615
OC,0.42857,0.62887,0.35294,0.2,0.0,0.46667,0.42105,0.33333,0.54321,0.72727,0.17647,0.0,0.56,0.54545,0.4881,0.75
OOC,0.30305,0.57506,0.31025,0.13484,0.0,0.40929,0.39354,0.16013,0.49897,0.52636,0.17647,0.0,0.55448,0.4671,0.4345,0.67937
OP,0.33205,0.68365,0.3936,0.14643,-0.02723,0.592,0.41997,0.10134,0.61278,0.82776,0.26329,-0.02874,0.61065,0.55343,0.54634,0.73322
P,14,97,22,11,14,30,87,26,81,11,17,11,102,15,84,39
PLR,34.66071,6.44873,15.84298,14.77273,0.0,11.77867,4.79833,12.21154,6.05888,36.36364,8.11765,0.0,6.97504,51.68,4.33278,47.84615
PLRI,Good,Fair,Good,Good,Negligible,Good,Poor,Good,Fair,Good,Fair,Negligible,Fair,Good,Poor,Good
POP,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661
PPV,0.42857,0.52586,0.35294,0.2,0.0,0.35897,0.42105,0.33333,0.45833,0.38095,0.17647,0.0,0.56,0.54545,0.38679,0.75
PRE,0.02118,0.14675,0.03328,0.01664,0.02118,0.04539,0.13162,0.03933,0.12254,0.01664,0.02572,0.01664,0.15431,0.02269,0.12708,0.059
Q,0.9554,0.88011,0.91075,0.88338,-1.0,0.90995,0.75026,0.85862,0.84703,0.98481,0.81208,-1.0,0.86884,0.97687,0.765,0.98384
QI,Strong,Strong,Strong,Strong,Negligible,Strong,Strong,Strong,Strong,Strong,Strong,Negligible,Strong,Strong,Strong,Strong
RACC,0.00022,0.02575,0.00086,0.00013,0.00013,0.00268,0.01513,0.00036,0.0178,0.00053,0.00066,0.0002,0.02335,0.00038,0.02038,0.00286
RACCU,0.00025,0.02596,0.00087,0.00015,0.00019,0.00272,0.0152,0.00059,0.01793,0.00059,0.00066,0.00021,0.02335,0.00039,0.02066,0.00288
TN,643,509,628,646,643,606,530,631,528,637,630,642,515,641,512,614
TNR,0.99382,0.90248,0.98279,0.99385,0.99382,0.96038,0.92334,0.9937,0.91034,0.98,0.97826,0.98769,0.92129,0.99226,0.88735,0.98714
TON,654,545,644,656,657,622,585,655,565,640,644,653,561,650,555,629
TOP,7,116,17,5,4,39,76,6,96,21,17,8,100,11,106,32
TP,3,61,6,1,0,14,32,2,44,8,3,0,56,6,41,24
TPR,0.21429,0.62887,0.27273,0.09091,0.0,0.46667,0.36782,0.07692,0.54321,0.72727,0.17647,0.0,0.54902,0.4,0.4881,0.61538
Y,0.2081,0.53135,0.25551,0.08476,-0.00618,0.42705,0.29116,0.07062,0.45355,0.70727,0.15473,-0.01231,0.47031,0.39226,0.37544,0.60252
dInd,0.78574,0.38373,0.72748,0.90911,1.00002,0.5348,0.63681,0.9231,0.46551,0.27346,0.82382,1.00008,0.4578,0.60005,0.52415,0.38483
sInd,0.4444,0.72866,0.4856,0.35716,0.29288,0.62184,0.5497,0.34727,0.67084,0.80663,0.41747,0.29284,0.67629,0.5757,0.62937,0.72788
